Date,Occupied_Units,Week,Occupancy,Bookings,Notices,Avg_Booking_Time,Avg_Notice_Time,Has_Bookings,Has_Notices,units_available,Missing_Occupancy_Flag
2016-08-01,60.0,2016-W31,0.8571428571428571,6.0,1.0,7.5,18.0,1,1,70.0,0
2016-08-02,59.0,2016-W31,0.8428571428571429,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-08-03,58.0,2016-W31,0.8285714285714286,3.0,3.0,9.333333333333334,5.666666666666667,1,1,70.0,0
2016-08-04,59.0,2016-W31,0.8428571428571429,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-08-05,56.0,2016-W31,0.8,0.0,1.0,8.333333333333334,4.0,0,1,70.0,0
2016-08-06,56.0,2016-W31,0.8,2.0,2.0,1.0,7.0,1,1,70.0,0
2016-08-07,60.0,2016-W31,0.8571428571428571,0.0,6.0,8.333333333333334,30.833333333333332,0,1,70.0,0
2016-08-08,58.0,2016-W32,0.8285714285714286,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-08-09,57.0,2016-W32,0.8142857142857143,2.0,0.0,9.5,14.0,1,0,70.0,0
2016-08-10,56.0,2016-W32,0.8,1.0,1.0,32.0,8.0,1,1,70.0,0
2016-08-11,56.0,2016-W32,0.8,0.0,2.0,8.333333333333334,31.5,0,1,70.0,0
2016-08-12,56.0,2016-W32,0.8,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-08-13,55.0,2016-W32,0.7857142857142857,2.0,4.0,8.0,8.75,1,1,70.0,0
2016-08-14,54.0,2016-W32,0.7714285714285715,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-08-15,54.0,2016-W33,0.7714285714285715,2.0,4.0,26.0,14.0,1,1,70.0,0
2016-08-16,54.0,2016-W33,0.7714285714285715,2.0,1.0,18.0,3.0,1,1,70.0,0
2016-08-17,54.0,2016-W33,0.7714285714285715,2.0,5.0,13.5,13.4,1,1,70.0,0
2016-08-18,53.0,2016-W33,0.7571428571428571,3.0,1.0,9.333333333333334,8.0,1,1,70.0,0
2016-08-19,51.0,2016-W33,0.7285714285714285,4.0,2.0,27.0,13.0,1,1,70.0,0
2016-08-20,45.0,2016-W33,0.6428571428571429,0.0,1.0,8.333333333333334,2.0,0,1,70.0,0
2016-08-21,46.0,2016-W33,0.6571428571428571,0.0,2.0,8.333333333333334,13.0,0,1,70.0,0
2016-08-22,48.0,2016-W34,0.6857142857142857,4.0,1.0,4.75,9.0,1,1,70.0,0
2016-08-23,47.0,2016-W34,0.6714285714285714,4.0,2.0,12.75,126.0,1,1,70.0,0
2016-08-24,48.0,2016-W34,0.6857142857142857,2.0,0.0,27.0,14.0,1,0,70.0,0
2016-08-25,51.0,2016-W34,0.7285714285714285,0.0,1.0,8.333333333333334,5.0,0,1,70.0,0
2016-08-26,50.0,2016-W34,0.7142857142857143,1.0,2.0,11.0,22.5,1,1,70.0,0
2016-08-27,51.0,2016-W34,0.7285714285714285,0.0,1.0,8.333333333333334,9.0,0,1,70.0,0
2016-08-28,53.0,2016-W34,0.7571428571428571,0.0,2.0,8.333333333333334,20.5,0,1,70.0,0
2016-08-29,52.0,2016-W35,0.7428571428571429,4.0,1.0,11.0,7.0,1,1,70.0,0
2016-08-30,53.0,2016-W35,0.7571428571428571,8.0,3.0,10.125,112.0,1,1,70.0,0
2016-08-31,54.0,2016-W35,0.7714285714285715,7.0,3.0,7.571428571428571,8.0,1,1,70.0,0
2016-09-01,59.0,2016-W35,0.8428571428571429,3.0,2.0,8.333333333333334,58.5,1,1,70.0,0
2016-09-02,60.0,2016-W35,0.8571428571428571,1.0,0.0,14.0,14.0,1,0,70.0,0
2016-09-03,62.0,2016-W35,0.8857142857142857,2.0,3.0,0.0,11.333333333333334,1,1,70.0,0
2016-09-04,64.0,2016-W35,0.9142857142857143,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-09-05,61.0,2016-W36,0.8714285714285714,4.0,0.0,24.0,14.0,1,0,70.0,0
2016-09-06,58.0,2016-W36,0.8285714285714286,8.0,4.0,2.75,8.5,1,1,70.0,0
2016-09-07,63.0,2016-W36,0.9,0.0,7.0,8.333333333333334,21.571428571428573,0,1,70.0,0
2016-09-08,64.0,2016-W36,0.9142857142857143,3.0,5.0,1.0,9.6,1,1,70.0,0
2016-09-09,66.0,2016-W36,0.9428571428571428,2.0,0.0,26.0,14.0,1,0,70.0,0
2016-09-10,67.0,2016-W36,0.9571428571428572,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-09-11,68.0,2016-W36,0.9714285714285714,0.0,3.0,8.333333333333334,11.0,0,1,70.0,0
2016-09-12,68.0,2016-W37,0.9714285714285714,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-09-13,67.0,2016-W37,0.9571428571428572,0.0,3.0,8.333333333333334,8.333333333333334,0,1,70.0,0
2016-09-14,65.0,2016-W37,0.9285714285714286,2.0,6.0,2.0,9.666666666666666,1,1,70.0,0
2016-09-15,68.0,2016-W37,0.9714285714285714,4.0,0.0,2.25,14.0,1,0,70.0,0
2016-09-16,70.0,2016-W37,1.0,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-09-17,69.0,2016-W37,0.9857142857142858,3.0,0.0,0.6666666666666666,14.0,1,0,70.0,0
2016-09-18,68.0,2016-W37,0.9714285714285714,2.0,0.0,1.0,14.0,1,0,70.0,0
2016-09-19,68.0,2016-W38,0.9714285714285714,1.0,4.0,10.0,8.25,1,1,70.0,0
2016-09-20,69.0,2016-W38,0.9857142857142858,2.0,0.0,1.0,14.0,1,0,70.0,0
2016-09-21,70.0,2016-W38,1.0,1.0,0.0,5.0,14.0,1,0,70.0,0
2016-09-22,70.0,2016-W38,1.0,5.0,1.0,17.2,7.0,1,1,70.0,0
2016-09-23,70.0,2016-W38,1.0,0.0,1.0,8.333333333333334,2.0,0,1,70.0,0
2016-09-24,70.0,2016-W38,1.0,0.0,1.0,8.333333333333334,7.0,0,1,70.0,0
2016-09-25,70.0,2016-W38,1.0,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-09-26,67.0,2016-W39,0.9571428571428572,0.0,4.0,8.333333333333334,6.0,0,1,70.0,0
2016-09-27,67.0,2016-W39,0.9571428571428572,2.0,3.0,0.0,6.0,1,1,70.0,0
2016-09-28,68.0,2016-W39,0.9714285714285714,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-09-29,68.0,2016-W39,0.9714285714285714,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-09-30,66.0,2016-W39,0.9428571428571428,1.0,0.0,1.0,14.0,1,0,70.0,0
2016-10-01,65.0,2016-W39,0.9285714285714286,2.0,1.0,5.5,15.0,1,1,70.0,0
2016-10-02,65.0,2016-W39,0.9285714285714286,0.0,1.0,8.333333333333334,6.0,0,1,70.0,0
2016-10-03,65.0,2016-W40,0.9285714285714286,5.0,0.0,16.4,14.0,1,0,70.0,0
2016-10-04,65.0,2016-W40,0.9285714285714286,3.0,2.0,7.666666666666667,9.0,1,1,70.0,0
2016-10-05,67.0,2016-W40,0.9571428571428572,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-10-06,67.0,2016-W40,0.9571428571428572,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-10-07,67.0,2016-W40,0.9571428571428572,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-10-08,66.0,2016-W40,0.9428571428571428,0.0,2.0,8.333333333333334,18.0,0,1,70.0,0
2016-10-09,67.0,2016-W40,0.9571428571428572,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
2016-10-10,67.0,2016-W41,0.9571428571428572,0.0,0.0,8.333333333333334,14.0,0,0,70.0,0
